,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
248,(13.3),"Funerals for celebrated men of title include elaborate, formalized ceremony – the saluting fire of guns and cannons, militaristic drums, and frenzied mourning – as a show of respect for the deceased.
      ",fire,not metaphorical,,0,,,,,,
249,"The importance of the individual church, its members and its mission must never be underestimated-we have these or we have no Union!","Centralisation is, as history often shows, the short road to bureaucracy, decay, stagnation and decline.
      ",road,cause,,0,,,,,,
250,"But instead, there are vast over-grown scrublands spanning the distances between them.","Despite all the avowals and resolutions to harness knowledge as a wealth-creating tool and the alleviation of poverty in our societies, the democratisation of our communities seems to rest on the margins of our agenda.
      ",tool,knowledge,,0,,,,,,
251,So…why aren’t more people listening?,"History has proven that guns are essential to self-defense and liberty—but tragedy is a powerful force and has led many to believe that guns are the enemy, that the Second Amendment is outdated, and that more restrictions or outright bans on firearms will somehow solve everything.
      ",enemy,guns,,0,,,,,,
252,"But so do pipe bombs, Molotov cocktails, an out-of-control automobile or any one of a number of other options.","An event such as Newtown is not an indictment of guns, but of a failed mental health system.
      ",indictment,criticism,,0,,,,,,
253,"New Public Management generally emphasizes competition in the public sector, using corporate-like management methods and administrative structures that focus on quantitative performance measures (especially outputs) to improve the efficiency of public services and reduce budgets.","Called by some a global reform movement in public administration, NPM strives to increase management autonomy by replacing bureaucratic rigidity with market-like competition (Kettl, 1997: p. 447; Lynn, 1998: p. 231).
      ",rigidity,strict adherence to procedures,,0,,,,,,
254,Probably so.,"The parasite of congress (which itself has countless parasites clinging to it) has become bigger than the host it is draining dry.
      ",parasite,burden,,0,,,,,,
255,[EMPTY],"The crowd swelled, chanting “Shame!” and “Our House!” as fire trucks arrived in support, sirens blaring to respond to the burning of democracy
    ",burning,anger,,0,,,,,,
256,"Information Technology and Innovation Foundation President Robert Atkinson discounted his efforts, saying the bill doesn't need to be watered down to appease some conservatives.","“We have to stop thinking of Grover Norquist as the tax pope,” he said.
      ",pope,leader,,0,,,,,,
257,A credit-rating mushroom cloud?,"By air, the missiles of a warring party — the tea party — are observed registering red on the map, anti-tax drones beep-beep-beeping their way toward the mainland.
      ",drones,protesters,,0,,,,,,
258,[EMPTY],"Hediscussed getting lost in the taxation fog and fighting back with the right weapons.
    ",fog,complexity,,0,,,,,,
259,[EMPTY],"So, buddy,"" he directed this to Bradley, ""how long will this trip into poverty's armpit keep you in town this time?
    ",armpit,ghetto,,0,,,,,,
260,"DNS-and-BIND (461968) | more than 2 years ago | (#39702599) OK, since when is a crappy TV show some sort of barometer of government? When did this happen? Seriously, are your horizons that small? A CBS reality show somehow provides God's Honest Truth in what way exactly? Your negation of representative government by this method frightens me. You right-wingers will be the death of us all. Re:Right Outcomes? (1)","Dkf (304284) | more than 2 years ago | (#39702709) OK, since when is a crappy TV show some sort of barometer of government?
    ",barometer,aspect,,0,,,,,,
261,"Finally, violence IS the norm, from the Federal level on down.","The mass psychosis of government sanctioned perpetual foreign wars against shadowy ""enemies"" that we can't even be sure actually exist can't help but infect the domestic sphere as well.
      ",psychosis,mindset,,0,,,,,,
262,"The government's own statistics acknowledge that in 2005, $3 billion flowed through Colombia, with no record of how the money entered the country.","No one planted money seeds and grew the $3 billion; this is just a portion of the billions of dollars and euros that the paramilitaries have laundered.
      ",seeds,source,,0,,,,,,
263,But widespread price declines would actually accelerate the economic downturn-and it turns out that fear of possible deflation was one reason the Federal Reserve cut interest rates to near zero last month.,"According to minutes released yesterday of the December Fed meeting at which governors made the historic decision to slash interest rates to less than 0.25 percent, it was fear of deeper economic catastrophe that persuaded them to open the monetary spigot as wide as they could go in an effort to keep the failing economy from running completely aground.
      ",spigot,supply,,0,,,,,,
264,Yes Man-$6.0M A man (Jim Carrey) tries to change his life by saying yes to everything.,"Not Easily Broken - $5.3M A car accident tests the bonds of a marriage.
      ",bonds,relationship,,0,,,,,,
265,"Currently, she is working on two initiatives to continue the revitalization of the city: the Anacostia Watershed Initiative to clean up the Anacostia River and the National Mall Revitalization and Re-designation Act which would overhaul the National Mall and add amenities for tourists and residents.","As Norton is on the brink of possibly securing voting rights for the District — if the NRA hurdle can be passed — she is mobilizing efforts to keep Washingtonians employed through the innovative Opportunities Center, where residents and business owners are trained and prepared for jobs, apprenticeships and contracts.
      ",hurdle,lobbying,,0,,,,,,
